canonical_ticker,sector,official_name,member_tickers,aliases
A,Health Care,Agilent Technologies,A,Agilent Technologies
AAPL,Information Technology,Apple Inc.,AAPL,Apple|Apple Inc.
ABBV,Health Care,AbbVie,ABBV,AbbVie
ABNB,Consumer Discretionary,Airbnb,ABNB,Airbnb
ABT,Health Care,Abbott Laboratories,ABT,Abbott Laboratories
ACGL,Financials,Arch Capital Group,ACGL,Arch Capital Group
ACN,Information Technology,Accenture,ACN,Accenture
ADBE,Information Technology,Adobe Inc.,ADBE,Adobe|Adobe Inc.
ADI,Information Technology,Analog Devices,ADI,Analog Devices
ADM,Consumer Staples,Archer Daniels Midland,ADM,Archer Daniels Midland
ADP,Industrials,Automatic Data Processing,ADP,Automatic Data Processing
ADSK,Information Technology,Autodesk,ADSK,Autodesk
AEE,Utilities,Ameren,AEE,Ameren
AEP,Utilities,American Electric Power,AEP,American Electric Power
AES,Utilities,AES Corporation,AES,AES|AES Corporation
AFL,Financials,Aflac,AFL,Aflac
AIG,Financials,American International Group,AIG,American International Group
AIZ,Financials,Assurant,AIZ,Assurant
AJG,Financials,Arthur J. Gallagher & Co.,AJG,Arthur J. Gallagher & Co.
AKAM,Information Technology,Akamai Technologies,AKAM,Akamai Technologies
ALB,Materials,Albemarle Corporation,ALB,Albemarle|Albemarle Corporation
ALGN,Health Care,Align Technology,ALGN,Align Technology
ALL,Financials,Allstate,ALL,Allstate
ALLE,Industrials,Allegion,ALLE,Allegion
AMAT,Information Technology,Applied Materials,AMAT,Applied Materials
AMCR,Materials,Amcor,AMCR,Amcor
AMD,Information Technology,Advanced Micro Devices,AMD,Advanced Micro Devices
AME,Industrials,Ametek,AME,Ametek
AMGN,Health Care,Amgen,AMGN,Amgen
AMP,Financials,Ameriprise Financial,AMP,Ameriprise Financial
AMT,Real Estate,American Tower,AMT,American Tower
AMZN,Consumer Discretionary,Amazon,AMZN,Amazon
ANET,Information Technology,Arista Networks,ANET,Arista Networks
AON,Financials,Aon plc,AON,Aon plc
AOS,Industrials,A. O. Smith,AOS,A. O. Smith
APA,Energy,APA Corporation,APA,APA|APA Corporation
APD,Materials,Air Products,APD,Air Products|Air Products and Chemicals|Air Products and Chemicals Inc
APH,Information Technology,Amphenol,APH,Amphenol
APO,Financials,Apollo Global Management,APO,Apollo Global Management
APP,Information Technology,AppLovin,APP,AppLovin
APTV,Consumer Discretionary,Aptiv,APTV,Aptiv
ARE,Real Estate,Alexandria Real Estate Equities,ARE,Alexandria Real Estate Equities
ARES,Financials,Ares Management,ARES,Ares Management
ATO,Utilities,Atmos Energy,ATO,Atmos Energy
AVB,Real Estate,AvalonBay Communities,AVB,AvalonBay Communities
AVGO,Information Technology,Broadcom,AVGO,Broadcom
AVY,Materials,Avery Dennison,AVY,Avery Dennison
AWK,Utilities,American Water Works,AWK,American Water Works
AXON,Industrials,Axon Enterprise,AXON,Axon Enterprise
AXP,Financials,American Express,AXP,American Express
AZO,Consumer Discretionary,AutoZone,AZO,AutoZone
BA,Industrials,Boeing,BA,Boeing
BAC,Financials,Bank of America,BAC,Bank of America
BALL,Materials,Ball Corporation,BALL,Ball|Ball Corporation
BAX,Health Care,Baxter International,BAX,Baxter International
BBY,Consumer Discretionary,Best Buy,BBY,Best Buy
BDX,Health Care,Becton Dickinson,BDX,Becton Dickinson
BEN,Financials,Franklin Resources,BEN,Franklin Resources
BF.B,Consumer Staples,Brown–Forman,BF.B,Brown Forman|Brown-Forman|Brown-Forman Corporation|Brown–Forman
BG,Consumer Staples,Bunge Global,BG,Bunge Global
BIIB,Health Care,Biogen,BIIB,Biogen
BK,Financials,BNY Mellon,BK,BNY Mellon|Bank of New York Mellon|The Bank of New York Mellon Corporation
BKNG,Consumer Discretionary,Booking Holdings,BKNG,Booking Holdings
BKR,Energy,Baker Hughes,BKR,Baker Hughes
BLDR,Industrials,Builders FirstSource,BLDR,Builders FirstSource
BLK,Financials,BlackRock,BLK,BlackRock
BMY,Health Care,Bristol Myers Squibb,BMY,Bristol Myers Squibb
BR,Industrials,Broadridge Financial Solutions,BR,Broadridge Financial Solutions
BRK.B,Financials,Berkshire Hathaway,BRK.B,Berkshire Hathaway|Berkshire Hathaway Inc
BRO,Financials,Brown & Brown,BRO,Brown & Brown
BSX,Health Care,Boston Scientific,BSX,Boston Scientific
BX,Financials,Blackstone Inc.,BX,Blackstone|Blackstone Inc.
BXP,Real Estate,"BXP, Inc.",BXP,"BXP|BXP Inc.|BXP, Inc."
C,Financials,Citigroup,C,Citigroup
CAG,Consumer Staples,Conagra Brands,CAG,Conagra Brands
CAH,Health Care,Cardinal Health,CAH,Cardinal Health
CARR,Industrials,Carrier Global,CARR,Carrier Global
CAT,Industrials,Caterpillar Inc.,CAT,Caterpillar|Caterpillar Inc.
CB,Financials,Chubb Limited,CB,Chubb Limited
CBOE,Financials,Cboe Global Markets,CBOE,Cboe Global Markets
CBRE,Real Estate,CBRE Group,CBRE,CBRE Group
CCI,Real Estate,Crown Castle,CCI,Crown Castle
CCL,Consumer Discretionary,Carnival,CCL,Carnival
CDNS,Information Technology,Cadence Design Systems,CDNS,Cadence Design Systems
CDW,Information Technology,CDW Corporation,CDW,CDW|CDW Corporation
CEG,Utilities,Constellation Energy,CEG,Constellation Energy
CF,Materials,CF Industries,CF,CF Industries
CFG,Financials,Citizens Financial Group,CFG,Citizens Financial Group
CHD,Consumer Staples,Church & Dwight,CHD,Church & Dwight
CHRW,Industrials,C.H. Robinson,CHRW,C.H. Robinson
CHTR,Communication Services,Charter Communications,CHTR,Charter Communications
CI,Health Care,Cigna,CI,Cigna
CIEN,Information Technology,Ciena,CIEN,Ciena
CINF,Financials,Cincinnati Financial,CINF,Cincinnati Financial
CL,Consumer Staples,Colgate-Palmolive,CL,Colgate-Palmolive
CLX,Consumer Staples,Clorox,CLX,Clorox
CMCSA,Communication Services,Comcast,CMCSA,Comcast
CME,Financials,CME Group,CME,CME Group
CMG,Consumer Discretionary,Chipotle Mexican Grill,CMG,Chipotle Mexican Grill
CMI,Industrials,Cummins,CMI,Cummins
CMS,Utilities,CMS Energy,CMS,CMS Energy
CNC,Health Care,Centene Corporation,CNC,Centene|Centene Corporation
CNP,Utilities,CenterPoint Energy,CNP,CenterPoint Energy
COF,Financials,Capital One,COF,Capital One
COHR,Information Technology,Coherent Corp.,COHR,Coherent Corp.
COIN,Financials,Coinbase,COIN,Coinbase
COO,Health Care,Cooper Companies,COO,Cooper Companies|Cooper Companies (The)
COP,Energy,ConocoPhillips,COP,ConocoPhillips
COR,Health Care,Cencora,COR,Cencora
COST,Consumer Staples,Costco,COST,Costco
CPAY,Financials,Corpay,CPAY,Corpay
CPB,Consumer Staples,Campbell's Company,CPB,Campbell's Company|Campbell's Company (The)
CPRT,Industrials,Copart,CPRT,Copart
CPT,Real Estate,Camden Property Trust,CPT,Camden Property Trust
CRH,Materials,CRH plc,CRH,CRH plc
CRL,Health Care,Charles River Laboratories,CRL,Charles River Laboratories
CRM,Information Technology,Salesforce,CRM,Salesforce
CRWD,Information Technology,CrowdStrike,CRWD,CrowdStrike
CSCO,Information Technology,Cisco,CSCO,Cisco
CSGP,Real Estate,CoStar Group,CSGP,CoStar Group
CSX,Industrials,CSX Corporation,CSX,CSX|CSX Corporation
CTAS,Industrials,Cintas,CTAS,Cintas
CTRA,Energy,Coterra,CTRA,Coterra
CTSH,Information Technology,Cognizant,CTSH,Cognizant
CTVA,Materials,Corteva,CTVA,Corteva
CVNA,Consumer Discretionary,Carvana,CVNA,Carvana
CVS,Health Care,CVS Health,CVS,CVS Health
CVX,Energy,Chevron Corporation,CVX,Chevron|Chevron Corporation
D,Utilities,Dominion Energy,D,Dominion Energy
DAL,Industrials,Delta Air Lines,DAL,Delta Air Lines
DASH,Consumer Discretionary,DoorDash,DASH,DoorDash
DD,Materials,DuPont,DD,DuPont
DDOG,Information Technology,Datadog,DDOG,Datadog
DE,Industrials,Deere & Company,DE,Deere & Company
DECK,Consumer Discretionary,Deckers Brands,DECK,Deckers Brands
DELL,Information Technology,Dell Technologies,DELL,Dell Technologies
DG,Consumer Staples,Dollar General,DG,Dollar General
DGX,Health Care,Quest Diagnostics,DGX,Quest Diagnostics
DHI,Consumer Discretionary,D. R. Horton,DHI,D. R. Horton
DHR,Health Care,Danaher Corporation,DHR,Danaher|Danaher Corporation
DIS,Communication Services,Walt Disney Company,DIS,Walt Disney Company|Walt Disney Company (The)
DLR,Real Estate,Digital Realty,DLR,Digital Realty
DLTR,Consumer Staples,Dollar Tree,DLTR,Dollar Tree
DOC,Real Estate,Healthpeak Properties,DOC,Healthpeak Properties
DOV,Industrials,Dover Corporation,DOV,Dover|Dover Corporation
DOW,Materials,Dow Inc.,DOW,Dow|Dow Inc.
DPZ,Consumer Discretionary,Domino's,DPZ,Domino's
DRI,Consumer Discretionary,Darden Restaurants,DRI,Darden Restaurants
DTE,Utilities,DTE Energy,DTE,DTE Energy
DUK,Utilities,Duke Energy,DUK,Duke Energy|Duke Energy Corporation
DVA,Health Care,DaVita,DVA,DaVita
DVN,Energy,Devon Energy,DVN,Devon Energy
DXCM,Health Care,Dexcom,DXCM,Dexcom
EA,Communication Services,Electronic Arts,EA,Electronic Arts
EBAY,Consumer Discretionary,eBay Inc.,EBAY,eBay|eBay Inc.
ECL,Materials,Ecolab,ECL,Ecolab
ED,Utilities,Consolidated Edison,ED,Consolidated Edison
EFX,Industrials,Equifax,EFX,Equifax
EG,Financials,Everest Group,EG,Everest Group
EIX,Utilities,Edison International,EIX,Edison International
EL,Consumer Staples,Estée Lauder Companies,EL,Estée Lauder Companies|Estée Lauder Companies (The)
